0;Умняка прощается с тобой, исполнив неглубокий реверанс. Поклонившись ей, вполовину, ты направляешься в Капитул.;"Хм, значит вот он какой Старший Воспитатель Ордена. Буду с нетерпением ждать продолжения нашего знакомства.";День продолжается вполне себе сносно, солнце греет твои широкие плечи, а от чистоты горного воздуха немного кружится голова. То, что тебе нужно. После пасмурных и прохладных деньков, проведённых в столице. Возня с бумагами и годовыми отчётами всегда тяготила тебя. Поэтому радость от возможности поработать "в поле" заполняла тебя.;Ты было приоткрыл дверь в Капитул, как тебя тут же сбили с ног, распохнув её с другой стороны. Пролетев через приступок, ты полетел спиной прямиком на каменную дорожку. Отточенные годами рефлексы сработали быстрее, чем ты понял, что происходит. Поэтому ты успел подогнуть ноги и приземлиться на корточки.;На крыльце капитула наблюдает за тем, как ты отряхиваешься, рыцарь ордена. Её нахмуренные брови и сжатые губы свидетельствовали о том, что она сильно рассержена. Но в её глазах на мгновение промелькнуло удивление. Или тебе же просто показалось. 
Альтушка;Да плевать.
0;Ты было хотел что-то сказать, но рыцарь быстро прошагал мимо тебя.;"Кто-то явно не в духе";Ты проходишь внутрь Капитула и поднимаешься к обозначенному Воспитателем кабинету. На входе висит деревянная табличка "Архимагистр". А в коридоре, неподалёку, дежурит рыцарь, вооружённый полуторным мечом. Поравнявшись с рыцарем, ты демонстрируешь ему указ с королевской печатью. Рыцарь молча кивает, разрешая тебе пройти дальше.;Можно смело сказать, что кабинет Архимагистра куда больше твоего в столице. Большую часть занимают стеллажи с книгами учёта, доходов, различными приказами, указами и прочее прочее прочее. В правом углу кабинета расположился макет-карта с расставленными на них силами Ордена, Монархического королевства, Эльфов и Восточного королевства. А в центре за письменным столом сидела заместитель Архимагистра. ;Она быстро водит пером по пергаменту, пока читает какой-то документ. Сейчас день и ей хватает натурального освещения, пробивающего сквозь огромное круглое окошко за её спиной. ;Бесчисленные стопки документов, расставленные на столе и на полу вокруг, вызывают впечатление беспорядка. А раскрасневшиеся от недостатка сна глаза заместителя свидетельствуют о затяжном рабочем дне. ;Увидев тебя, она на секунду отрывается от документов.
Мать;Ах, Инквизитор, приветствую вас от лица всего Ордена. Я - Мать, правая рука Архимагистра. Как добрались?
1;Спасибо, довольно комфортно, знаете ли. Дорога была нудной и скучной. Если честно, мне хотелось бы приступить к работе как можно скорее.;Добрался и добрался. Одно это и главное. Не люблю попусту трепаться. Может уже перейдём к делу?;Ужасно. Просто отвратительно. Постоялые дворы юга, в коих мы останавливались, кишат мышами и тараканами. Страх берёт, понимая как тут дела обстоят плохо. А ведь земли вам сам Монарх под управление вверил.
Мать;Божий человек, так ещё и трудоголик. А вы мне начинаете нравится, Инквизитор. Ну хорошо. Я с радостью помогу вам в вашем непростом деле. Позвольте же спросить, какого рода кооперации вы ожидаете от меня?
Я;Мне нужен полный доступ к вашему архиву. Так же мне необходимо переговорить с вашим офицерским составом. С некоторыми рядовыми для полноты всей картины, если потребуется. Так же мне нужна полная свобода перемещения внутри вашей обители.
Мать;Хм. Я сейчас же распоряжусь сообщить нашему Архивариусу про легитимность вашего пребывания в библиотеках ордена. Офицеры будут осведомлены сегодня за обеденной трапезой. Так же вас разместят в нашем гостевом домике. Обычно к нам приезжает Епископ, погостить. Единственное,  вам запрещено посещать Казармы в ночное время, сами понимаете почему.
0;Вы кротко киваете, прежде чем задать вопрос.
Я;Что насчёт моих спутников?
Мать;К сожалению, людям их ранга не положено жить среди наших послушниц. Так же им дозволено посещать только Храм и гостевой домик. Они будут расквартированы на постоялом дворе в городе. Там же есть Церковь для молитв. 
0;Это немного усложняет дело. Но ничего страшного, Поручик весьма хитёр и ловок , когда дело касается ночного шпионажа. Его таланты сильно помогли при расследовании дела "Справедливой Луны".
Мать;Если на этом всё, Инквизитор, я бы хотела попросить вас оставить. Как видите, работы у меня тут на несколько Крестовых Походов.
1;На самом деле есть ещё одна вещь, интересующая меня. Перед тем как войти меня чуть не сбила с ног рыцарь с фиолетовыми волосами. Могу ли я узнать её имя?;. О, на этом всё, магистр. Но позвольте мне узнать, могу ли я поужинать сегодня в вашей компании? Уверен, у людей высокого ранга, найдётся что обсудить. Я действительно утомился после такой долгой дороги. Совместный ужин помог бы мне вернуться в колею…;Да, на этом всё, магистр. Спасибо и на этом с вами прощаюсь.
0;Правая бровь Магистра приподнимается, буквально на долю секунды. И тут же возвращается на своё привычное место. Эта женщина хорошо контролирует свои эмоции, что впрочем, неудивительно. 
Мать;Ах, это. Что ж, это моя "Ахиллесова пята". Альтушка, Инструктор по владению мечом. Видите ли, у неё непростой характер и зима ей даётся особенно тяжело. ;До крестового похода она занималась патрулированием границ. Как вы знаете, результатом последнего похода стало временное перемирие с эльфами. Поэтому на границу призвали новобранцев. А Альтушку Архимагистр вернул в монастырь. Я нахожу это решение правильным. Ведь у неё огромный талант и, будьте уверены, на всё королевство вам не отыскать лучшего фехтовальщика. ;Но Альтушка не находит решение Архимагистра правильным. И поэтому активно от них отлынивает. А я…
0;Магистр делает глубокий вздох, перед тем как продолжить. Ты видишь, как её изящные плечи вздымаются под тяжестью могучей груди.
Мать;А я пытаюсь вытрясти всю ребяческую дурь из её головы. Извините, если она как-то принизила вас, там внизу.
Я;Нет, ничего страшного. 
0;Магистр улыбается, после того как слова мягко и почти тепло слетают с твоих губ. Своими длинными и белыми, как кость, пальчиками она берёт маленький колокольчик, стоящий на краю стола. ;*Динь-динь!* раздаётся по всему кабинету. Вдруг, между стеллажами книг открывается дверь, до этого момента совсем незаметная. И в помещение заходит послушница, разодетая в серые одежды. Она делает глубокий реверанс в твою сторону, при этом её глаза не отрываются от пола ни на секунду. Так же исследуя пол, она подходит к Магистру и наклоняет свою голову ближе к своему ментору. ;Магистр что-то шепчет ей на ухо. Ты слышишь, что речь идёт о поручениях на твой счёт. Наконец, послушница смиренно кивает и быстро, но беззвучно выходит из помещения.
Мать;Вот и всё, Инквизитор. На выходе вас встретят мои послушницы и проводят вас к гостевому домику. Потом сможете пройти в Архивы. До скорой встречи!
0;Пухлые губы Магистра растягиваются в небольшую улыбку. Она складывает свои руки в Знаке Спасителя. В ответ ты так же сотворяешь похожий жест.;На выходе из Капитула тебя встречают две послушницы. Поприветствовав друг друга вы направляетесь к твоему новому жилью.;"Хм, значит между Магистром и этим инструктором определённо конфликт. Но насколько он силён? И могу ли я использовать эту "Ахиллесову пяту"? Ладно, сначала залезу в Архивы, составлю картотетку. А потом уже можно будет продумывать какую, а никакую стратегию…
0;Что ж, довольно скромная обитель. Но это и неплохо. Широкая кровать с железным каркасом и соломенной подстилкой. Небольшой письменный столик со свежей банкой чернил и пером. Рядом покоится стопка чистых пергаментов. Можно скзаать, что Магистр позаботилась о том, чтобы у тебя было все необходимое для твоего расследования.
0;На входе стоят три походных мешка с твоей одеждой, инструментами и кинжалом. Раньше ты не любил пользоваться холодным оружием, хоть и владел им на хорошем уровне. Но что-то заставило взять с собой этот, пусть и маленький, но всё же предмет самозащиты. ;Всё из-за "Праведной Луны". Это точно. Проклятые культисты чуть не закололи тебя, когда ты сунулся в их осиное гнездо безоружным.
0;Ты достаёшь из походного чемодана свою мантию. Это небольшой повод для радости - возможность сменить запылённую дорогой одежду. Хотя, конечно, на лице твоём сохраняется полная отчуждённость к происходящему. Послушники вручили тебе карту их обители. Так что можно сразу же отправляться в Библиотеку с её архивами. ;У тебя есть свой метод. Стиль, если можно так выразиться, при исполнении своих обязанностей. Поэтому перво-наперво нужно сверить все записи. Выявить исторические неточности, недочёты. Человека уличить во лжи куда легче, имея туз в рукаве. ;Для настоящего государственного переворота необходимо крупное финансирование. Орден на него способен, в этом сомнений нет. А вот способны ли Архивариусы ордена хорошо спрятать свою ересь в монетном учёте? Вот это и может стать твоим "Тузом в рукаве"…
0;Путь к Архиву тебе предстояло найти самому. Отозвав сопровождение Магистр демонстрировала полное доверие тебе. Либо же посчитала, что карты будет достаточно и направила людей на более важные задания. Архив находился в северной части крепости, совсем недалеко от тренировочных ям. ;Когда-то давно, ещё на заре становления Ордена, эти ямы выкопали первые крестоносцы для проведения грубых спаррингов. Мягкий песок, которым высыпали дно, позволял сражаться как с оружием, так и в рукопашную. Скорее всего, кто-то из первых крестоносцев до своей клятвы был гладиатором из южных земель. Там тебе доводилось видеть похожие сооружения. ;В них, на потеху толпе, пару раз в неделю гибли рабы-гладиаторы. Кровавый спорт так сильно нравился простолюдинам, что ставки на самых титулованных бойцов достигали просто неприличных сумм. Стоит ли говорить, какой политический и социальный статус имеют в этих землях Доминусы - владельцы гладиаторов. Монарху приходится считаться с их мнением и учитывать их желания. Как бы ему это и не нравилось.
0;Удивительно, что такая варварская и абсолютно богопротивная затея не изжила себя здесь.;Сейчас в ямах, судя по всему, тренируются новобранцы. Хотя тренировка слишком сильно сказано. Бедолаги поочерёдно атакуют тренировочным оружием того самого инструктора, который чуть не сбил тебя дверью. Их удары не точны, а сами они довольно неуклюжи в обращении с оружием. Некоторые из них просто путаются в ногах и беспомощно падают на песок. ;Альтушке только и остаётся, что больно укольнуть лежачих в бок остриём своего меча. 
0;Такой непрофессиональный подход к обучению слегка раздражает тебя. Может быть стоит воспользоваться моментом и "пощупать" из чего состоит лучший фехтовальщик Ордена? Её душа всё ещё гневается из-за утреннего укола, нанесённого Магистром.
1;Вмешаться.;Пройти мимо.
Альтушка;Ну, так и будете валяться на песке весь день? Откуда вы такие только и взялись. Падаете, едва удар нанесёте. Вам должны быть стыдно!
0;Подойдя ближе к ограждению ты только и слышишь, как Альтушка ругает молодняк.
1;Эй, разве так следует относится к своим подопечным? Как они могут научиться чему-то, если ты только их избиваешь?;Прошу прощение за вторжение. Но мне кажется, что вы слишком жестоки по отношению к ним. Они же ещё совсем дети.;Хорошо тебе говорить,  ветерану многих войн. Готов поспорить, что тебя инструктора по-другому воспитывали
0;Альтушка удостоила тебя злобным взглядом. На её скулах заиграли жвалы, тебе явно удалось нащупать нужную струну.
Альтушка;Тебе-то какое дело, чинуша? Разве не слышал, что не ходят со своими правилами в чужой монастырь? В их возрасте я уже во всю билась с эльфийскими бандитами на границе Государства!;Да чего я тут распинаюсь, перед церковником. Понимал бы чего в искусстве ведения битв. А вы!
0;Альтушка поворачивается назад к своим подопечным. Многие из них до сих пор так и сидят на песке, потирая ушибленные места. 
Альтушка;Быстро приняли атакующую стойку! Тренировка ещё далека от завершения!
0;Ты замечаешь, что кто-то из них смотрит на тебя с мольбой в глазах. Всё же в боевых действиях ты кое-что понимал. Но стоит ли раскрывать свои таланты сейчас?
1;Думаю будет лучше, если ты дашь отдохнуть детишкам и сразишься со мной. Просто показательный бой с кем-то, кто обладает базовыми навыками ведения боя. Что скажешь?;Я сильно возмущен вашим поведением и обязательно сообщу Магистру. Как по мне тут происходит полное нарушение воинской этики!;Молча продолжить свой путь к архиву.
0;Хоть Альтушка и стоит к тебе спиной, но ты будто спинным мозгом чувствуешь, как она улыбается. Рыбка клюнула, не хочет упускать возможность выплеснуть свою злость на новую игрушку. Вот только играть с ней будешь ты.
Альтушка;Ну что ж, чинуша. Бери оружие и выходи на ринг.
0;Новобранцы быстро покидают яму, занимая зрительские места вокруг деревянной ограды. Ты подходишь ко стенду с тренировочным оружием.
1;Взять длинный меч.;Взять парные клинки.;Взять копьё.
0;Ты немного жонглируешь мечом, привыкая к его весу в руке и удовлетворившись результатом выбора встаёшь в боевую стойку напротив Альтушки.
0;Её фиалковые глаза горят огнём ненависти, она выносит одну руку вперёд, будто бы приглашая тебя начать опасный танец. ;Ты делаешь рывок вперёд и совершаешь ложный выпад одним клинком. Она спокойно парирует его, на что ты и рассчитывал. Навершием другого клинка ты ударяешь в бок своего противника. 
0;Альтушка, теряя равновесие, делает пару шагов назад. Отовсюду слышатся восхищённые вздохи новичков. Скорее всего это первый раз, когда они видят своего инструктора получившим удар. ;Но радость их преждевременна, ведь как только Альтушка нащупала точку опоры, она тут же переходит в атаку. Удар, другой удар. Ты с лёгкостью парируешь эту атаку, двумя то клинками. Но вот она совершает ложный выпад и в конце своего замаха меняет цель, с твоего горла на твоё колено. ;Ты спешишь отразить этот удар, но в последнюю секунду она переводит кончик меча к другой твоей ноге и жалит тебя в бедро, заставляя опуститься на одно колено. ;Довольно болезненный укол дрожью проходит сквозь всю твою нервную систему. Альтушка усмехается, глядя на тебя сверху вниз. Она специально целилась тебе в нерв и это только начало твоего унижения на песке.
0;Усталость от дороги всё же сказывается и вряд ли тебе удастся вести длительный бой. Пара успешных атак - лучшее на что ты можешь надеется. Скорость, с которой она меняет вектор движения своего тела поражает. Возможно  и отдохнувшим тебе будет нечего ей возразить в этом упражнении.
1;Отбросить в сторону клинки.;Продолжить битву.;Совершить подлость.
Я;Хорошо, ты победила. Я признаю своё поражение.
0;Альтушка фыркает, она явно не довольна таким поворотом событий.
Альтушка;Мда, я надеялась на что-то большее. Теперь будь так добр и покинь тренировочный круг. Дай мне заняться делом.
0;Ты молча киваешь и покидаешь яму, уступая место новичкам. Они нехотя встают перед своим инструктором, готовясь к очередному "уроку". 
Альтушка;Встаньте на расстоянии в пару шагов друг от друга. Опустите руку с мечом, крепко держась за рукоятку. Левую ногу вперёд, немного согните в коленке. Вот так.
0;Ты постепенно удаляешься от тренировочного круга. Из этой короткой перепалки тебе удалось вынести кое-что полезное. Альтушка явно очень темпераментна. Ты это используешь в будущем. Главное, что она тебя запомнила. И то, что в данный момент она не колотит бедняжек, а ставит им удар только говорит, что тебе удалось её предрасположить к себе. Пусть ненамного, но и это результат.
0;Прихожая Архива была довольно скудной, даже по монашеским меркам. Стены и пол состояли из монолитного гранита. Прибитые с обеих сторон коридора подсвечники скудно освещали тебе путь к главному залу. ;Единственное, что удивило тебя здесь, так это запах лилий, что будто повисал над теплом исходящим от свеч.
0;Вряд ли бы нос обычного человека смог бы почуять нечто подобное. Ты знал, что человеческий организм куда более скован в своих сенсорных центрах.
0;А вот главный зал действительно заставлял ахнуть! Огромные, идущие до самого потолка стеллажи были забиты рукописями. Только и вдуматься, сколько здесь? Три? Четыре? Может быть пять метров? Каждый стеллаж делился на несколько отделений и наверху такого отделения красовалась выбитая деревянная табличка. ;Вот здесь хранились трактаты по Философии, здесь по Теологии, здесь Учения древнего мира. С другой стороны зала покоились рукописи хранившие в себя дела более насущные. Законы Монархии. Со всеми следующими поправками. Юридическое право. Устав Ордена. Летопись Ордена. Здесь было всё. Осталось найти Архивариуса.
Скромняга;Ай!
0;Послышалось тебе и тут же резкий грохот окончательно разорвал тишину главного зала. Шум доносился с северной части, за дальнем для тебя, стеллажом. Подойдя ближе, ты увидел, как перед тобой  на полу распласталась девушка с полузакрытыми глазами. ;Возможно, несколько книг упали ей прямо на голову и она потеряла сознание. В этом нельзя быть увереным, вдруг притворяется? Но ты точно уверен, что именно от неё по всему Архиву летает чудесный лиловый запах.
1;Коснуться её ладони.;Коснуться её ладони.;Потрясти за грудки.
0;Ты осторожно касаешься нежной ладони девушки, перед тем как спросить всё ли с ней впорядке. Она открывает глаза и тут же её бледные щёчки приходят в румянец. Она поспешно встаёт, поправляя своё длинное платье и большие круглые очки, с позолоченой оправой.
Скромняга;Спасибо, вам. Просто я неуклюжая была. Взяла и свалилась с этой лестницы. Сейчас уже со мной всё хорошо, не волнуйтесь!
0;По её беглой речи становится ясно, что мужчин здесь она встречает не часто. 
Скромняга;Я - Скромняга! Главный заместитель нашего Архивариуса! Да и вообще, единственный, раз уж на то пошло. Нас тут всего-то двое. Она и я, вот. А вы по какому вопросу-то?
Я;А вам разве не сообщили?
0;Скромняга изовсех сил напрягает свой лобик, но в итоге делает глубокий вздох и начинает мотать головой.
Скромняга;Нет, но если сообщить-то сегодня должны были, то не могли, я недавно пришла. А если не сегодня, то вы уж простите я стало быть забыла!
0;На последнем слове она широко улыбнулась; "И что это её так развеселило?"
1;Я прибыл по важному делу для нашей общей матери Церкви. В рамках реорганизации подчиняющихся ей структур мне повезло быть тем, кто поможет вашему Ордену внедрить инновации. Разработанные совместно с вашим Архимагистром. Зовите меня - Дознаватель.;Я - инквизитор святой Церкви. Мне нужен полный доступ к Архиву Ордена для расследования.;И как с такой рассеянностью и неукложестью попадают на такие ответственные должности. Ведь ты как будущий Архивариус должна запоминать много важной информации, позор!
Скромняга;Очень приятно познакомится! К сожалению, моя начальница немного приболела и не сможет вам помочь. Хоть оно и не удивительно. Ей уже очень много-много лет. Но я буду тут и всегда отвечу на любой ваш вопрос. Правда-правда. ;Меня уже два года готовят к должности Архивариуса! В боевых тренировках я не смогла добиться каких-либо успехов. Поэтому наш Архимагистр и послала меня сюда. Чтобы хоть кто-то смог разгрузить старушку Библиотекаршу. ;Значит настоящая "реорганизация". Вау! Мне так не терпится увидеть, как вы реорганизуете!
0;Вот опять, улыбается чему-то.
Я;Мне нужны отчётные книги Ордена за последние пять лет. Списки неофитов, искателей. Перепись подрядчиков, работающих с Орденом. Поставщиков сырья, продовольствия. Доходные книги.
Скромняга;Ух, таких скучных книг у меня тут полно. Они все вон там!
0;Своим тонким пальчиком Скромняга указывает на крайний стеллаж, расположенный у правой стены.
Скромняга;И вон там! И прямо до самого верха идите. Что там вы ещё хотели… Ах да. Доходные книги и расходные книги в другом зале. Идёмте за мной.
0;Второй зал мало чем отличается от первого. Разве что в центре него расположено чуть больше читательских столов.
Скромняга;Вот. Тут у нас всё что с золотом и деньгами связано. А как вообще такое может помочь с вашей этой "реорганизацией"?
0;Вот чёрт. Она со своими этими вопросами лезет куда не надо! Вообще, можно и пригрозить ей в официальной манере. А то общается тут себе как на базаре. Или же стоит с ней подружиться?
1;Ну, очень просто. Вот к примеру, у вас есть поставщик дров на Зиму. Но он находится от вас за много мил и из-за этого его цена за пройденный повозкой путь, удваивается или даже утраивается. Но при этом недалеко от вашей Обители есть другой точно такой же подрядчик. Но свои-то дрова он отправляет каким-нибудь Сёстрам Милосердия или Клирикам Нового дня! Ну а в масштабах нашей любимой Церкви многие вещи происходят недостаточно эффективно и рассточительно, вы же понимаете?;Рыба;Рыбёшка
Скромняга;Понимаю, понимаю. Наш Архимагистр то-то и поехала в столицу. Она уж очень давно хотела там какую-то "реформацию" устроить. Вот она бы вас поняла, с вашей этой "реорганизацией!".
1;Я начинаю думать, что вас забавляют столь серьёзные вещи.
Скромняга;Нет, что вы. Что вы!
0;Она так энергично качает своей головой, что кажется, будто она шарнирчике.
Скромняга;Просто мне это всё кажется скучным. Какое мне тут дело до всего этого. Наша Архимагистр и Верховный Дьяк придумают новое. А мне с того только работы больше. Оформляй новые стеллажи, делай новые выписки и подсчёты. Фу, скукота.
1;Но это ваша работа. Должно же быть что-нибудь в ней любимое вашему сердцу.;"Человек должен выполнять вверенные ему обязанности. Таков священный его долг перед Церквью.";Мда уж. Вот я бы точно нашёл себе занятие, будь я в твоей должности!
0;После твоих слов в её глазах забегали маленькие лиловые огоньки. Будто бы только этого вопроса она и ждала.
Скромняга;Конечно! У меня же у одной тут безграничный и нерегламентированый доступ к рыцарским романам! Могу читать их сколько угодно и когда угодно.
0;Скромняга слегка наклоняется к тебе и прикрыв ладошкой рот шепчет.
Скромняга;Главное чтоб старуха моя не узнала. А то по шее надаёт. Так что, вы уж сударь, пожалуйста, не доносите на меня. А я вам за это помогу с вашей "реорганизацией!"
0;Ты учтиво киваешь, принимая такие правила игры.
Скромняга;Ну что, с чего вы хотите начать?
1;Начнём с перепеси послушников Ордена.;С книги финансов за последние пять лет.;Список подрядчиков и субконтрактников Ордена за эту декаду.
Скромняга;Хорошо! Сейчас принесу по томику нам обоим. А вы пока усаживайтесь поудобнее за столом.
0;В двоём глядишь и вправду быстрее дело-то пойдёт. Эх, сюда бы ещё поручика. Но его задание не менее важно. Пусть вызнает, что там в городе происходит. ;Есть у него талант, среди грязи и плебеев находить нужную информацию. Если уж Орден действительно с эльфами в сговоре, то должны быть какие, а никакие слухи. 
Скромняга;От и я! Заждалися небось!
0;Две обтянутые телячьей кожей книги с золотой нитью вышитой по корке, плюхается на стол прямо перед твоим носом. 
Я;Здесь ведь все члены Ордена, начиная с его создания?
Скромняга;Агась. На каждоую мою сестру здесь выделено по одной странице. Мы начинаем вести запись в момент, когда неофит становится послушником. И на всю её земную жизнь тут есть три колонны. Послушник/Рыцарь/Офицер.;Мы записываем сюда как проступки, так и подвиги. И когда сестра умирает, на её похоронах Магистр зачитывает всё то хорошее, что было сделано усопшей. Для благодарности от оставшихся сестёр. И всё плохое, в назидание оставшимся сёстрам. ;Это оооочень древнее правило. И очень нудное. Каждый раз записывать это всё я же с ума сойду! Может вы его как раз-таки и упраздните, а, сэр Дознаватель?
1;*Вздох*, я приму твою просьбу к сведению, когда буду составлять окончательный рапорт Дьякону.;Окунь;Щука
Скромняга;Ура! Ура! Работать с вами одно удовольствие!
Я;Какого возраста самая старая сестра в Ордене?
Скромняга;Ух, ну и вопросики у вас, сэр Дознаватель. Такое у дам, вообще-то, спрашивать неприлично, но…
0;Скромняга немного наклоняется вперёд.
Скромняга;*шёпотом* Моя старуха тут самая старая, будьте в этом уверены. Ей уж давно за девяносто. Уверена, она ещё и первого Архимагистра живой помнит, хи-хи.
0;В заговоре может участвовать кто угодно, так что делать нечего. Стоит начинать практически с самого начала.
Я;Хорошо, тогда с её страницы я и начну.
Скромняга;Сэр Дознаватель, а можно вопрос?
0;Ты учтиво киваешь.
Скромняга;Так а как это вам поможет-то? Ну прочтёте вы про моих сестёр и что с того? Будете их в званиях менять чтоли? Вы тогда и меня поменяйте! Хочу быть странствующим поэтом! Ну и что, что такого нет. А вы сделайте!
Я;Ну, эм. *Кхм*. Все на самом деле просто. На основе этих данных я смогу составить примерную диаграмму того за какие качества чаще дают офицерские звания. ;Это поможет Ордену распознавать на совсем ранних этапах подходящих кандидатов в офицеры и готовить их по новой, придуманной вашей Архимагистром, программе.
Скромняга;Хм, жаль. Видимо так и буду чахнуть под присмотром своей старухи. Ну ладно. Я пойду закончу инвентаризацию, а вы, если что - кричите. Я тут же подойду!
0;Скромняга делает неглубокий реверанс и, хихикнув, уходит, оставляя тебя наедине с пыльными талмудами Ордена.
0;*НАСТУПИЛ ВЕЧЕР*
0;Сложно сказать, сколько времени минуло с момента, как ты переступил порог Архива, ведь окна в здании совершенно отсутствовали, но по догорающей свечке, чей воск уже почти что расползлся в огромную лужу, можно с уверенностью заявить, что время уже позднее и пора бы тебе лечь спать. ;Ты решаешься пролистать ещё несколько страниц с именами послушников Ордена. Знакомое имя тут же привлекает твоё внимания. Это страница Альтушки.
1;Аккуратно подрезать страничку и забрать её с собой.;Оставить всё как есть, вырванную страничку с лёгкостью заметит Скромняга. Зачем такие риски?
0;Прислушавшись к звукам Архива ты ничего не слышишь, кроме размеренного посапывания Скромняги. Ты достаёшь свой кинжал и практически у самого переплёта отрезаешь страницу. ;Она пригодится в расследовании. Можно будет отдать её поручику, чтобы он мог разузнать об Альтушке побольше за пределами Ордена.
